Named Entities:
  39 Alice
  26 Queen
   9 The Queen
   9 King
   7 The
   7 She
   7 It
   7 Five
   6 What
   6 Off
   5 Seven
   4 Two
   4 So
   4 Rabbit
   4 Cat
   3 You
   3 That
   3 Majesty
   3 Knave
   3 How
   3 Duchess
   3 Cheshire Cat
   3 And
   2 Yes
   2 Why
   2 Who
   2 White Rabbit
   2 When
   2 Well
   2 The King
   2 The Cat
   2 My
   2 Miss
   2 Hush
   2 Hearts
   2 He
   2 Get
   2 Don
   1 Would
   1 Very
   1 Turn
   1 They
   1 There
   1 Then
   1 Their
   1 The Knave
   1 Queens
   1 On
   1 Oh
   1 Not
   1 Nonsense
   1 No
   1 Next
   1 May
   1 Look
   1 Leave
   1 Kings
   1 Just
   1 In
   1 Idiot
   1 Ground
   1 First
   1 Did
   1 Croquet
   1 Consider
   1 Come
   1 Can
   1 By
   1 At
   1 Are
   1 Always
   1 After
